path,label
Sad/3fddc7ae2014f97dc0c09c20d31a08565dc600bffd221ac0e5157d76.jpg,Sad
Sad/0d7f377f8a1fe48c515d1e8e5f69d54e6547340ecad700f710c0946c.jpg,Sad
Sad/6c42c733024b9d0d7f7f78de2aa0ff2c399630641a71921005ac3c9f.jpg,Sad
Sad/4b47e842f6b7dac23f7e9079f949d2b69077777c57865a4ee8e06aac.jpg,Sad
Sad/0c0e0aa3c3423be21450a7b5cf598c3463899db327a81e29e1ec2749.jpg,Sad
Sad/2ddc00f1653c6e1405e4f73cdc467845837e2107f040713cbaa0f794.jpg,Sad
Sad/0c3e9a88f533fd10c99a64190aba1a9a711b4158446ad4b3de88612d.jpg,Sad
Sad/0bdbf24193e02ead498c64c103b707de7231f235e3de7ffaef4602b7.jpg,Sad
Sad/cropped_emotions.153366.png,Sad
Sad/cropped_emotions.163552.png,Sad
Sad/5c6bd39e6f51032193112309208a167fc11d401eb00f84b2b175d4de.jpg,Sad
Sad/cropped_emotions.499098.png,Sad
Sad/2a6e6e04117dd97af39b676f31cb35574d79116131f594d43f59ef65.png,Sad
Sad/7e4926529fd2b74c5ccb000ddf5b549432a678139c93b0e52c79ddd9.jpg,Sad
Sad/6f9c28d4d82fc85bd1bb3094c296dd326432438989ec9e588d366785.JPG,Sad
Sad/5e3d04b72e64ceccb72c598c8bc5d0b56746ad7ff52543df47e4ba98.jpg,Sad
Sad/cropped_emotions.5876.png,Sad
Sad/02d861e79f898ee5b56689fb512e5d03049a6d459d7551ddefc845cc.jpg,Sad
Sad/cropped_emotions.567837.png,Sad
Sad/cropped_emotions.5970.png,Sad
Sad/cropped_emotions.499288.png,Sad
Sad/cropped_emotions.171025.png,Sad
Sad/cropped_emotions.499108.png,Sad
Sad/6c4b589ff8bdbc4755a59fda0ad8ea04e9d21e532f522d06e5aab7fc.jpg,Sad
Sad/cropped_emotions.499036.png,Sad
Sad/8b722e15c8b02dbbefc83ca018fe510423345914f0cdb84a87023279.jpg,Sad
